RELSHIPP,SCHL,SCH,SCHG,ESR,WKHP,WAGP,COW,INDP,OCCP,AGEP,SEX,RAC1P,HISP,MAR,NATIVITY,CIT,ENG,LANX,DRIVESP,JWMNP,JWTRNS,HICOV,PRIVCOV,PUBCOV,DIS,DEAR,DEYE,DPHY,FER,PINCP,SEMP,SSIP,SSP,poverty_status
21,21,1,,1,40,200000,1,3390,0052,40,1,1,01,1,1,1,,2,1,45,01,1,1,2,2,2,2,2,,210000,0,0,0,0
25,18,1,,1,20,15000,1,8680,4055,20,2,8,02,5,1,1,1,1,1,6,01,1,1,2,2,2,2,2,2,15000,0,0,0,0
20,21,1,,1,50,687000,1,7380,0440,32,1,1,01,5,1,1,,2,,45,03,1,1,2,2,2,2,2,,687000,0,0,0,0
27,16,1,,1,50,30000,1,6390,9620,25,1,8,02,5,1,1,1,1,1,45,01,1,1,2,2,2,2,2,,30000,0,0,0,0
21,21,1,,6,40,157000,1,8090,5240,75,2,1,01,1,1,3,,2,,,,1,1,1,2,2,2,2,,196000,0,0,39000,0
21,19,1,,6,,0,,,,74,2,1,01,1,1,1,,2,,,,1,2,1,2,2,2,2,,9600,0,0,9600,0
25,21,2,15,6,,0,1,8680,4055,24,1,6,01,5,1,1,1,1,,,,1,1,2,2,2,2,2,,0,0,0,0,0
20,22,1,,6,4,0,6,7270,5940,78,2,1,01,5,1,1,,2,,,,1,2,1,2,2,2,2,,35980,180,0,10800,0
20,22,1,,1,40,75000,1,5071,4700,43,1,6,24,5,2,4,1,1,2,60,01,1,1,2,2,2,2,2,,75000,0,0,0,0
25,05,2,04,,,,,,,7,2,9,07,5,1,1,,2,,,,1,2,1,2,2,2,2,,,,,,1
26,19,1,,1,4,0,6,7770,4251,46,1,9,01,3,1,1,,2,1,20,01,1,1,1,2,2,2,2,,26800,12000,0,0,0
25,08,2,07,,,,,,,10,2,1,01,5,1,1,,2,,,,1,1,1,2,2,2,2,,,,,,0
25,16,1,,3,40,25000,1,7490,4965,21,1,1,01,5,1,1,,2,,,,1,1,2,2,2,2,2,,25000,0,0,0,0
20,21,1,,1,40,83000,5,9470,0630,50,2,1,01,1,1,1,,2,1,10,01,1,1,2,2,2,2,2,2,83000,0,0,0,0
20,19,1,,1,40,62000,1,8191,0710,48,2,1,01,1,1,1,,2,,,11,1,1,2,2,2,2,2,2,62000,0,0,0,0
21,22,1,,3,,0,4,7870,2545,32,2,1,01,1,1,1,,2,,,,1,1,2,2,2,2,2,2,0,0,0,0,0
20,19,1,,1,40,0,6,6190,9142,55,2,1,01,3,1,1,,2,2,20,01,1,1,1,2,2,2,2,,59000,23000,0,0,0
25,21,1,,1,45,85000,3,9380,5000,36,2,1,01,5,1,1,,2,1,20,01,1,1,2,2,2,2,2,2,85000,0,0,0,0
